Name,sample_label,site,transect,tree_number,horizon
TCTN_CMPS_KFP_0038,COMPASS_Dec2021_038,CC,UPLAND,205,A
TCTN_CMPS_KFP_0039,COMPASS_Dec2021_039,CC,UPLAND,206,A
TCTN_CMPS_KFP_0040,COMPASS_Dec2021_040,CC,UPLAND,207,A
TCTN_CMPS_KFP_0041,COMPASS_Dec2021_041,CC,UPLAND,208,A
TCTN_CMPS_KFP_0042,COMPASS_Dec2021_042,CC,UPLAND,209,A
TCTN_CMPS_KFP_0043,COMPASS_Dec2021_043,CC,TRANSITION,211,A
TCTN_CMPS_KFP_0044,COMPASS_Dec2021_044,CC,TRANSITION,212,A
TCTN_CMPS_KFP_0045,COMPASS_Dec2021_045,CC,TRANSITION,213,A
TCTN_CMPS_KFP_0046,COMPASS_Dec2021_046,CC,TRANSITION,214,A
TCTN_CMPS_KFP_0047,COMPASS_Dec2021_047,CC,TRANSITION,215,A
TCTN_CMPS_KFP_0048,COMPASS_Dec2021_048,CC,TRANSITION,216,A
TCTN_CMPS_KFP_0049,COMPASS_Dec2021_049,CC,TRANSITION,217,A
TCTN_CMPS_KFP_0050,COMPASS_Dec2021_050,CC,TRANSITION,218,A
TCTN_CMPS_KFP_0051,COMPASS_Dec2021_051,CC,TRANSITION,219,A
TCTN_CMPS_KFP_0052,COMPASS_Dec2021_052,CC,WC,W1,A
TCTN_CMPS_KFP_0053,COMPASS_Dec2021_053,CC,WC,W2,A
TCTN_CMPS_KFP_0054,COMPASS_Dec2021_054,CC,WC,W3,A
